quarter,output_gap,core_inflation,policy_rate,usdcad,statcan_gdp_growth,statcan_unemployment
2001Q1,0.00279203597,1.872165547,0.0517,0.656,2.076215025,2.6875
2001Q2,0.00079093147,2.228377551,0.0449,0.648,1.031108257,2.433333333
2001Q3,-0.00747791104,2.225794396,0.0398,0.648,-0.3029563285,1.891666667
2001Q4,-0.01615504878,2.061764925,0.0244,0.6335,2.444742553,2.008333333
2002Q1,-0.00798999082,2.011944092,0.0212,0.627277143,5.915205356,2.083333333
2002Q2,-0.00107414629,2.109037623,0.0259,0.6432012298,2.273576662,2.025
2002Q3,0.00098537695,2.159563621,0.02985000052,0.64244822,3.479638095,1.983333333
2002Q4,-0.00192721837,2.700944334,0.02836666667,0.6371987713,2.20950824,1.991666667
2003Q1,-0.00057945628,3.089382873,0.0303,0.6630554723,2.197654403,1.966666667
2003Q2,9.083185e-05,2.269920555,0.0331,0.7142988673,-0.5939238993,2.016666667
2003Q3,-0.00544509309,1.673477796,0.02845,0.7228923658,1.504975541,2.05
2003Q4,-0.00566949535,1.884877484,0.0272,0.7613705741,2.733433122,1.958333333
2004Q1,-0.00554317348,1.35364468,0.0231,0.7567734318,2.873596323,1.925
2004Q2,-0.00369176054,1.496145652,0.0206,0.7347023685,4.702048257,1.891666667
2004Q3,-0.00062106294,1.781458864,0.0217,0.7624983306,4.727374038,1.85
2004Q4,-0.00101558937,1.376682485,0.0267,0.8264412253,2.861369334,1.883333333
2005Q1,-0.00194545536,1.631022224,0.02565,0.8147253802,1.361760297,1.833333333
2005Q2,-0.00163600604,1.685941061,0.02585,0.8021901013,2.837590649,1.808333333
2005Q3,-0.00047105497,1.625734157,0.02735,0.8309892511,4.89263135,1.775
2005Q4,-0.0001085,1.580890285,0.03255,0.8512776673,3.942120701,1.733333333
2006Q1,0.00385767811,1.651024213,0.03735,0.8729955792,3.193292953,1.75
2006Q2,0.00834297315,1.833273454,0.0426,0.8928450258,0.19298392,1.683333333
2006Q3,0.01022094,2.029639473,0.0433,0.8918539822,1.110058387,1.725
2006Q4,0.00695912205,2.202989771,0.0432,0.8794760254,1.506044293,1.691666667
2007Q1,0.00326684347,2.192638998,0.0434,0.8507532897,2.578057531,1.683333333
2007Q2,0.00417417676,2.416204347,0.04389996454,0.9135033407,3.8420436,1.65
2007Q3,0.00753647612,2.31695697,0.0475,0.9494068026,1.658615501,1.6
2007Q4,0.00841300997,1.660512095,0.0467,1.01699996,0.5598583433,1.625
2008Q1,0.00384441157,1.374884357,0.04083,0.9998099804,0.2370647511,1.633333333
2008Q2,-0.00106036283,1.367367873,0.0325,0.9892359376,1.385455941,1.641666667
